French,English
la,the
être,be
et,and
de,of
une,a
dans,in
à,to
ont,have
à,to
ce,it
je,I
cette,that
pour,for
vous,you
il,he
avec,with
au,on
faire,do
dire,say
cette,this
elles ou ils,they
à,at
mais,but
nous,we
le sien,his
à partir de,from
cette,that
ne pas,not
NT,n't
par,by
elle,she
ou,or
comme,as
Quel,what
aller,go
leur,their
pouvez,can
qui,who
avoir,get
si,if
voudrais,would
sa,her
tout,all
ma,my
Fabriquer,make
sur,about
connaître,know
sera,will
comme,as
en haut,up
un,one
temps,time
là,there
an,year
alors,so
pense,think
lorsque,when
qui,which
eux,them
quelques,some
moi,me
gens,people
prendre,take
en dehors,out
dans,into
juste,just
voir,see
lui,him
ton,your
viens,come
pouvait,could
à présent,now
que,than
Comme,like
autre,other
comment,how
ensuite,then
son,its
notre,our
deux,two
Suite,more
ces,these
vouloir,want
chemin,way
voir,look
première,first
aussi,also
Nouveau,new
car,because
journée,day
Suite,more
utiliser,use
non,no
homme,man
trouver,find
ici,here
chose,thing
donner,give
beaucoup,many
bien,well
seul,only
celles,those
dire,tell
un,one
très,very
sa,her
même,even
retour,back
quelconque,any
bon,good
femme,woman
par,through
nous,us
vie,life
enfant,child
là,there
travail,work
vers le bas,down
peut,may
après,after
devrait,should
appeler,call
monde,world
sur,over
l'école,school
toujours,still
essayer,try
dans,in
comme,as
dernière,last
demandez,ask
avoir besoin,need
trop,too
ressentir,feel
Trois,three
lorsque,when
Etat,state
jamais,never
devenir,become
compris entre,between
haut,high
vraiment,really
quelque chose,something
plus,most
une autre,another
beaucoup,much
famille,family
propre,own
en dehors,out
laisser,leave
mettre,put
vieille,old
tandis que,while
moyenne,mean
au,on
donjon,keep
élève,student
Pourquoi,why
laisser,let
super,great
même,same
grand,big
grouper,group
commencer,begin
sembler,seem
pays,country
aider,help
parler,talk
où,where
tour,turn
problème,problem
tous,every
début,start
main,hand
pourrait,might
américain,American
Afficher,show
partie,part
sur,about
contre,against
lieu,place
sur,over
tel,such
encore,again
peu,few
Cas,case
plus,most
la semaine,week
entreprise,company
où,where
système,system
chaque,each
à droite,right
programme,program
écouter,hear
alors,so
question,question
pendant,during
travail,work
jouer,play
gouvernement,government
Cours,run
petit,small
numéro,number
désactivé,off
toujours,always
mouvement,move
Comme,like
nuit,night
habitent,live
Monsieur,Mr
point,point
croire,believe
tenir,hold
aujourd'hui,today
apporter,bring
se produire,happen
suivant,next
sans pour autant,without
avant de,before
grande,large
tout,all
million,million
doit,must
domicile,home
en dessous de,under
l'eau,water
pièce,room
écrivez,write
mère,mother
région,area
nationale,national
de l'argent,money
récit,story
Jeune,young
fait,fact
mois,month
différent,different
parcelle,lot
à droite,right
étudier,study
livre,book
œil,eye
travail,job
mot,word
bien que,though
Entreprise,business
publier,issue
côté,side
gentil,kind
quatre,four
diriger,head
loin,far
noir,black
long,long
les deux,both
Petit,little
loger,house
Oui,yes
après,after
puisque,since
long,long
fournir,provide
un service,service
environ,around
amie,friend
important,important
père,father
asseoir,sit
un moyen,away
jusqu'à,until
Puissance,power
heure,hour
Jeu,game
souvent,often
encore,yet
ligne,line
politique,political
finir,end
parmi,among
jamais,ever
supporter,stand
mal,bad
perdre,lose
pourtant,however
membre,member
Payer,pay
loi,law
rencontrer,meet
auto,car
ville,city
presque,almost
inclure,include
Continuez,continue
ensemble,set
plus tard,later
communauté,community
beaucoup,much
Nom,name
cinq,five
